"student_id","student_level","score_value","attribute"
"student29","มัธยมศึกษาปีที่ 6",-0.7109365079365075,"ศีลธรรม"
"student47","มัธยมศึกษาปีที่ 6",-0.12063650793650772,"ศีลธรรม"
"student10","มัธยมศึกษาปีที่ 6",1,"ศีลธรรม"
"student39","มัธยมศึกษาปีที่ 6",-0.8476841269841268,"ศีลธรรม"
"student8","มัธยมศึกษาปีที่ 6",0.9660206349206346,"ศีลธรรม"
"student67","มัธยมศึกษาปีที่ 6",0.9698888888888888,"ศีลธรรม"
"student22","มัธยมศึกษาปีที่ 6",-0.00679206349206351,"ศีลธรรม"
"student38","มัธยมศึกษาปีที่ 6",0.49603174603174655,"ศีลธรรม"
"student41","มัธยมศึกษาปีที่ 6",1,"ศีลธรรม"
"student6","มัธยมศึกษาปีที่ 5",1,"ศีลธรรม"
"student45","ประถมศึกษาปีที่ 5",0.7196761904761904,"ศีลธรรม"
"student60","มัธยมศึกษาปีที่ 5",-0.4403238095238095,"ศีลธรรม"
"student15","มัธยมศึกษาปีที่ 6",0.978,"ศีลธรรม"
"student32","มัธยมศึกษาปีที่ 5",0.00775952380952371,"ศีลธรรม"
"student42","มัธยมศึกษาปีที่ 5",0.6867698412698412,"ศีลธรรม"
"student50","มัธยมศึกษาปีที่ 5",1,"ศีลธรรม"
"student21","มัธยมศึกษาปีที่ 4",-0.6215507936507934,"ศีลธรรม"
"student48","มัธยมศึกษาปีที่ 4",0.8915000000000001,"ศีลธรรม"
"student33","มัธยมศึกษาปีที่ 4",-0.7340444444444444,"ศีลธรรม"
"student3","มัธยมศึกษาปีที่ 5",-0.00277539682539673,"ศีลธรรม"
"student58","มัธยมศึกษาปีที่ 4",0.8506349206349203,"ศีลธรรม"
"student34","มัธยมศึกษาปีที่ 4",-0.81564126984127,"ศีลธรรม"
"student2","มัธยมศึกษาปีที่ 4",0.8306611111111111,"ศีลธรรม"
"student64","มัธยมศึกษาปีที่ 3",0.7844142857142856,"ศีลธรรม"
"student43","มัธยมศึกษาปีที่ 3",-0.07873174603174604,"ศีลธรรม"
"student66","มัธยมศึกษาปีที่ 3",-0.5568484126984127,"ศีลธรรม"
"student63","มัธยมศึกษาปีที่ 3",-0.02703809523809519,"ศีลธรรม"
"student49","มัธยมศึกษาปีที่ 3",1,"ศีลธรรม"
"student52","มัธยมศึกษาปีที่ 3",-0.8352365079365079,"ศีลธรรม"
"student36","มัธยมศึกษาปีที่ 3",0.511579365079365,"ศีลธรรม"
"student16","มัธยมศึกษาปีที่ 2",1,"ศีลธรรม"
"student9","มัธยมศึกษาปีที่ 3",-0.8320999999999998,"ศีลธรรม"
"student12","มัธยมศึกษาปีที่ 2",-0.8728031746031749,"ศีลธรรม"
"student61","มัธยมศึกษาปีที่ 2",-0.6512817460317457,"ศีลธรรม"
"student1","มัธยมศึกษาปีที่ 2",0.957276984126984,"ศีลธรรม"
"student28","มัธยมศึกษาปีที่ 2",0.701701587301587,"ศีลธรรม"
"student25","มัธยมศึกษาปีที่ 2",-0.7575079365079365,"ศีลธรรม"
"student23","มัธยมศึกษาปีที่ 2",0.6908714285714286,"ศีลธรรม"
"student26","มัธยมศึกษาปีที่ 2",0.7455603174603174,"ศีลธรรม"
"student57","มัธยมศึกษาปีที่ 2",0.9370111111111112,"ศีลธรรม"
"student30","มัธยมศึกษาปีที่ 2",0.996,"ศีลธรรม"
"student40","มัธยมศึกษาปีที่ 1",0.7854380952380954,"ศีลธรรม"
"student13","มัธยมศึกษาปีที่ 1",-0.7509603174603176,"ศีลธรรม"
"student31","มัธยมศึกษาปีที่ 1",-0.8170206349206348,"ศีลธรรม"
"student7","มัธยมศึกษาปีที่ 1",0.9778888888888888,"ศีลธรรม"
"student55","ประถมศึกษาปีที่ 6",0.9005539682539682,"ศีลธรรม"
"student59","ประถมศึกษาปีที่ 6",0.9698888888888888,"ศีลธรรม"
"student4","ประถมศึกษาปีที่ 6",0.8378095238095237,"ศีลธรรม"
"student35","ประถมศึกษาปีที่ 6",0.8978555555555554,"ศีลธรรม"
"student19","มัธยมศึกษาปีที่ 1",-0.5878714285714286,"ศีลธรรม"
"student14","ประถมศึกษาปีที่ 6",0.9785555555555556,"ศีลธรรม"
"student62","ประถมศึกษาปีที่ 6",-0.741801587301587,"ศีลธรรม"
"student5","ประถมศึกษาปีที่ 5",0.8879698412698415,"ศีลธรรม"
"student65","ประถมศึกษาปีที่ 5",0.9152142857142858,"ศีลธรรม"
"student17","ประถมศึกษาปีที่ 5",-0.7805126984126982,"ศีลธรรม"
"student54","ประถมศึกษาปีที่ 5",0.1003253968253972,"ศีลธรรม"
"student53","มัธยมศึกษาปีที่ 1",-0.792347619047619,"ศีลธรรม"
"student56","ประถมศึกษาปีที่ 6",0.8693841269841268,"ศีลธรรม"
"student20","ประถมศึกษาปีที่ 6",0.9775619047619049,"ศีลธรรม"
"student11","ประถมศึกษาปีที่ 5",0.9988,"ศีลธรรม"
"student37","ประถมศึกษาปีที่ 5",0.7510960317460316,"ศีลธรรม"
"student68","ประถมศึกษาปีที่ 5",0.9326031746031744,"ศีลธรรม"
